Data	Último	Abertura	Máxima	Mínima	Vol.	Var%
20.08.2020	0,29217	0,28979	0,2944	0,2847	1,22B	0,82%
19.08.2020	0,28979	0,30255	0,30587	0,27942	1,99B	-4,22%
18.08.2020	0,30255	0,3152	0,32152	0,2985	2,15B	-3,99%
17.08.2020	0,31513	0,30446	0,32667	0,29746	2,75B	3,50%
16.08.2020	0,30447	0,29882	0,30467	0,29243	1,74B	1,88%
15.08.2020	0,29886	0,30006	0,30522	0,29364	1,81B	-0,40%
14.08.2020	0,30006	0,29434	0,30708	0,29097	2,10B	1,94%
13.08.2020	0,29435	0,28232	0,29536	0,27298	2,00B	4,26%
12.08.2020	0,28231	0,28292	0,28719	0,27266	1,97B	-0,22%
11.08.2020	0,28293	0,29465	0,30713	0,27077	2,65B	-3,97%
10.08.2020	0,29464	0,28795	0,29993	0,2851	1,97B	2,32%
09.08.2020	0,28795	0,29526	0,29828	0,28236	1,18B	-2,47%
08.08.2020	0,29525	0,29444	0,29864	0,29027	1,10B	0,27%
07.08.2020	0,29444	0,30316	0,31003	0,28165	1,88B	-2,88%
06.08.2020	0,30316	0,30248	0,31065	0,29743	1,82B	0,22%
05.08.2020	0,30249	0,30136	0,30789	0,29175	2,07B	0,40%
04.08.2020	0,30129	0,31005	0,31873	0,29153	2,74B	-2,83%
03.08.2020	0,31005	0,28791	0,31971	0,28482	3,33B	7,70%
02.08.2020	0,28787	0,29101	0,32523	0,25562	5,37B	-1,08%
01.08.2020	0,291	0,25945	0,29743	0,25576	3,30B	12,15%
31.07.2020	0,25947	0,24415	0,26039	0,2418	1,78B	6,27%
30.07.2020	0,24417	0,24096	0,24941	0,23742	1,93B	0,40%
29.07.2020	0,24319	0,23041	0,25	0,22955	2,44B	5,55%
28.07.2020	0,23041	0,22433	0,2346	0,21729	2,00B	2,71%
27.07.2020	0,22433	0,21527	0,2289	0,21005	2,10B	4,21%
26.07.2020	0,21526	0,21464	0,22492	0,21295	1,55B	0,30%
25.07.2020	0,21463	0,20401	0,21741	0,20367	1,26B	5,20%
24.07.2020	0,20401	0,2085	0,2085	0,20205	1,02B	-2,16%
23.07.2020	0,20851	0,20356	0,21006	0,20164	1,42B	2,43%
22.07.2020	0,20356	0,19947	0,20437	0,1962	1,00B	2,05%
21.07.2020	0,19947	0,19468	0,20085	0,19399	998,17M	2,46%
20.07.2020	0,19469	0,19954	0,20008	0,19286	946,40M	-2,43%
19.07.2020	0,19953	0,19988	0,20198	0,19588	877,53M	-0,18%
18.07.2020	0,19989	0,19448	0,20197	0,19403	988,42M	2,78%
17.07.2020	0,19448	0,19442	0,19798	0,19141	910,35M	0,04%
16.07.2020	0,19441	0,19724	0,19752	0,18907	1,05B	-1,43%
15.07.2020	0,19723	0,19911	0,19974	0,19654	772,57M	-0,95%
14.07.2020	0,19911	0,19872	0,19972	0,19509	948,66M	0,20%
13.07.2020	0,19872	0,20119	0,20645	0,19412	1,31B	-1,23%
12.07.2020	0,20119	0,20114	0,20385	0,19798	863,29M	0,02%
11.07.2020	0,20115	0,19898	0,2046	0,19812	1,13B	1,09%
10.07.2020	0,19898	0,20261	0,20264	0,19338	1,36B	-1,79%
09.07.2020	0,20261	0,20545	0,21161	0,1975	2,28B	-1,38%
08.07.2020	0,20544	0,18512	0,20659	0,18402	2,17B	10,98%
07.07.2020	0,18512	0,18875	0,18957	0,18321	935,86M	-1,92%
06.07.2020	0,18875	0,17704	0,18908	0,17645	1,25B	6,57%
05.07.2020	0,17711	0,17808	0,17876	0,17401	777,71M	-0,54%
04.07.2020	0,17808	0,17634	0,1795	0,17604	773,85M	0,96%
03.07.2020	0,1764	0,17478	0,17852	0,17443	802,84M	0,93%
02.07.2020	0,17478	0,17644	0,17712	0,1724	925,56M	-0,95%
01.07.2020	0,17645	0,17531	0,1781	0,17393	773,69M	0,64%
30.06.2020	0,17532	0,17724	0,17756	0,17497	639,09M	-1,08%
29.06.2020	0,17725	0,17687	0,17913	0,17518	880,97M	0,21%
28.06.2020	0,17688	0,17514	0,1796	0,17349	856,63M	0,99%
27.06.2020	0,17514	0,18249	0,18342	0,16947	975,54M	-4,03%
26.06.2020	0,18248	0,18155	0,18679	0,17876	1,11B	0,51%
25.06.2020	0,18155	0,18352	0,18406	0,17897	912,40M	-1,07%
24.06.2020	0,18351	0,18886	0,1901	0,18179	1,01B	-2,83%
23.06.2020	0,18886	0,18942	0,19042	0,18839	793,85M	-0,29%
22.06.2020	0,18941	0,18606	0,19018	0,18584	1,07B	1,80%
21.06.2020	0,18606	0,18793	0,1884	0,18577	623,94M	-0,99%
20.06.2020	0,18793	0,18727	0,18894	0,18539	692,33M	0,35%
19.06.2020	0,18727	0,18978	0,19002	0,18672	1,01B	-1,32%
18.06.2020	0,18978	0,19318	0,1932	0,18829	852,10M	-1,76%
17.06.2020	0,19318	0,19238	0,19852	0,1889	1,03B	0,41%
16.06.2020	0,19239	0,19242	0,19389	0,19021	798,67M	-0,01%
15.06.2020	0,19241	0,19029	0,19337	0,1824	1,29B	1,11%
14.06.2020	0,19029	0,19241	0,19248	0,18894	671,96M	-1,10%
13.06.2020	0,19241	0,19304	0,19373	0,19093	706,60M	-0,33%
12.06.2020	0,19304	0,18837	0,19499	0,1871	903,45M	2,48%
11.06.2020	0,18838	0,20271	0,20343	0,18544	1,38B	-7,07%
10.06.2020	0,2027	0,20132	0,20376	0,20019	911,78M	0,68%
09.06.2020	0,20133	0,20409	0,20499	0,20036	933,54M	-1,35%
08.06.2020	0,20408	0,20334	0,20428	0,2014	799,78M	0,37%
07.06.2020	0,20334	0,2037	0,20495	0,19902	996,83M	-0,18%
06.06.2020	0,2037	0,20282	0,20476	0,20144	851,00M	0,44%
05.06.2020	0,20282	0,20438	0,20567	0,20174	1,17B	-0,76%
04.06.2020	0,20438	0,20411	0,20713	0,20121	1,36B	0,13%
03.06.2020	0,20411	0,20316	0,20475	0,20104	1,23B	0,46%
02.06.2020	0,20317	0,2109	0,21452	0,19826	2,05B	-3,66%
01.06.2020	0,2109	0,20254	0,21184	0,20132	1,66B	4,13%
31.05.2020	0,20254	0,20703	0,21323	0,20105	1,71B	-2,17%
30.05.2020	0,20703	0,19758	0,20754	0,19611	1,54B	4,78%
29.05.2020	0,19758	0,20045	0,2028	0,1965	1,28B	-1,43%
28.05.2020	0,20046	0,19792	0,20088	0,1951	1,34B	1,26%
27.05.2020	0,19797	0,19373	0,19994	0,19367	1,28B	2,18%
26.05.2020	0,19374	0,19619	0,19691	0,19169	1,15B	-1,25%
25.05.2020	0,19619	0,19271	0,19715	0,19047	1,22B	1,76%
24.05.2020	0,19279	0,19883	0,20122	0,19279	1,05B	-3,04%
23.05.2020	0,19883	0,20035	0,20212	0,19813	1,04B	-0,76%
22.05.2020	0,20036	0,19432	0,20237	0,19227	1,55B	3,12%
21.05.2020	0,1943	0,20176	0,20309	0,19013	1,39B	-3,69%
20.05.2020	0,20176	0,20496	0,20611	0,19805	1,20B	-1,56%
19.05.2020	0,20496	0,20539	0,20653	0,20115	1,17B	-0,21%
18.05.2020	0,20539	0,20135	0,20779	0,20131	1,57B	2,00%
17.05.2020	0,20136	0,19981	0,2044	0,19888	1,24B	0,78%
16.05.2020	0,19981	0,19809	0,20184	0,19678	1,52B	0,86%
15.05.2020	0,19809	0,204	0,20455	0,19591	2,06B	-2,90%
14.05.2020	0,204	0,20171	0,206	0,19889	2,25B	1,14%
13.05.2020	0,20171	0,197	0,20374	0,19592	2,16B	2,39%
12.05.2020	0,197	0,1927	0,1996	0,19132	2,21B	2,16%
11.05.2020	0,19283	0,19677	0,19997	0,18529	3,15B	-2,00%
10.05.2020	0,19677	0,21648	0,21649	0,18239	3,81B	-9,10%
09.05.2020	0,21647	0,21868	0,22489	0,21611	2,74B	-1,01%
08.05.2020	0,21869	0,2186	0,22182	0,21443	2,61B	0,04%
07.05.2020	0,2186	0,2118	0,2206	0,21003	2,88B	3,21%
06.05.2020	0,21181	0,21695	0,22185	0,21118	2,30B	-2,37%
05.05.2020	0,21695	0,21799	0,22196	0,21352	2,27B	-0,48%
04.05.2020	0,218	0,21937	0,22042	0,20729	2,88B	-0,62%
03.05.2020	0,21937	0,22371	0,22647	0,21594	2,42B	-1,94%
02.05.2020	0,22371	0,21782	0,22564	0,21547	2,39B	2,71%
01.05.2020	0,21782	0,21143	0,22401	0,21128	2,73B	3,01%
30.04.2020	0,21145	0,22643	0,2355	0,20848	4,27B	-6,61%
29.04.2020	0,22642	0,21452	0,23054	0,21386	3,82B	5,54%
28.04.2020	0,21453	0,1975	0,218	0,19469	3,21B	8,62%
27.04.2020	0,1975	0,19619	0,19939	0,19433	2,03B	0,67%
26.04.2020	0,1962	0,19419	0,19751	0,19275	1,86B	1,03%
25.04.2020	0,1942	0,19315	0,19744	0,19183	2,00B	0,55%
24.04.2020	0,19314	0,19263	0,19685	0,19213	2,35B	0,29%
23.04.2020	0,19259	0,18804	0,19856	0,18568	2,96B	2,42%
