Fechamento,Abertura,Maxima,Minima
141.3,135.65,148.91,135.26
135.66,132.88,136.56,128.93
132.86,132.15,135.14,130.54
132.15,125.24,134.72,125.02
125.24,131.02,131.74,124.84
131.03,131.74,132.68,125.48
131.74,138.38,140.99,131.09
138.38,136.08,139.22,133.69
136.07,138.59,141.88,133.06
138.62,136,142.9,132.67
136.02,122.46,136.93,120.2
122.41,132.59,136.86,121.37
132.58,133.32,137.33,126.01
133.32,135.43,151.85,118.07
135.43,117.76,141.05,115.59
117.77,115.95,117.91,110.16
116.06,111.06,120.6,109.67
111.02,124.35,124.38,102.44
124.35,122.67,132.13,120.93
122.69,134.02,134.58,121.27
133.99,107.87,138.86,88.5
107.9,194.57,195.4,102.83
194.58,200.61,202.96,182.15
200.56,202.88,205.62,196.17
202.85,199.21,208.23,190.73
199.16,237.3,237.3,196.71
237.32,244.87,251.55,236.87
244.9,228.46,244.98,227.71
228.45,224.36,233.96,224.34
224.38,223.94,228.66,220.74
223.94,231.9,232.37,220.34
231.87,217.96,234.24,216.23
217.99,217.51,227.44,213
217.52,226.94,232.87,217.43
226.93,227.6,234.55,214.47
